Source	Target	Relation
ROCK1	PPP1CC	-
RAD23B	CDC16	+
DAB2	SMAD3	+
PPP3CB	NFATC2	+
MYC	MYCT1	+
PSMB10	PSMD9	0
ATM	RFWD2	-
CLDN15	CLDN11	0
MYH6	MYH7	0
PAK3	MYLK3	-
ADRBK1	TP53	+
TUBB	DCTN1	0
PSMA2	ANAPC7	+
AKT1	NCOA1	+
MAD2L1	CDC26	-
BIRC3	TRAF3	0
CDH1	PIK3R1	+
JUP	FER	+
MRE11A	BARD1	0
DAB1	FYN	0
NOTCH3	RBPJ	+
RHOA	ITGB1	+
MKNK1	EIF4G1	+
FYN	NTN1	0
ESRRG	PLK2	+
ITGAL	BCAR1	+
RPS27A	EIF2S2	0
DVL2	CAMK2A	0
MAPKAPK5	CIAO1	+
WEE1	CCNB1	-
JUN	CCR5	+
PSMD11	PSMB5	0
EIF3A	RPS6	0
SMURF1	CCNB1	+
LYN	FCGR1A	+
RPS14	RPS4X	0
GNAI2	TRA@	-
LAMA5	CD44	+
STK40	MTA1	+
CXCL2	CCR10	+
PRKAR1B	MLC1	-
TP53	ARHGAP24	+
TPR	NUP210	0
PPP2CA	CCNG1	0
NCF1	MAPK13	+
DYNLL1	CEP110	0
PIAS4	POLR2B	0
ITGB8	PARVG	0
CAPN2	PRKCD	-
RPS26	RPS21	0
PIK3R2	MAP2K1	+
CASP3	LAMB1	+
ABI1	PAK1	0
PSIP1	VEGFC	+
GAB1	RAPGEF1	+
CREBBP	MYF6	-
MAML2	CREB1	+
FOS	IL2RA	+
DYNC1I2	TUBA1A	0
MEF2A	MYOD1	0
PRKCZ	NFKBIA	-
EIF3F	EIF3D	0
TP53	PLK3	+
CD3G	CD3D	0
GRB2	SKAP1	0
BDKRB1	GNG12	+
CLK2	SMPX	+
SH2B1	NTRK1	+
BIRC3	SMPD3	+
LRP6	FZD6	0
RPS6KB1	RPS15	+
CACNG5	RASGRF1	0
RPL18A	RPS14	0
PRKCD	STAT3	+
CDC42BPA	MYH8	+
KRAS	RHOA	+
CBL	CRK	0
RPA1	TIMELESS	0
DUSP16	MAPK11	-
MYH1	ACTB	0
JUN	NR3C1	+
GRB2	TUBA4A	0
DNMT3L	DNMT3A	+
IL7R	STAT5B	+
ETS1	GFI1	-
CDK2	ANAPC7	-
CSNK1A1	GNA12	+
DUSP5	MAPK13	-
THBS2	ITGA1	+
BCAR3	PAK1	+
PPP2R4	BAD	+
GK	RAF1	-
NUP35	GCK	+
IRF3	CXCL11	+
AVP	AQP1	+
FZD1	LCP1	+
IL1R1	MYD88	0
LPAR2	RHOA	+
MCM3	MCM5	0
CDC42	MAPK8	+
ORC1L	ORC4L	0
PTK2	PIK3CA	+
PSMA2	CDC27	+
BMP1	DSPP	+
RPL28	RPLP0	0
RPL7A	RPS15	0
E2F3	CASP7	-
MEOX2	CDKN1A	+
MET	MAPK1	-
RPS17	RPS15A	0
GSK3B	ZYX	+
MAML3	MAML3	0
PTK2	ARHGEF7	+
GNB1	S1PR1	0
EIF3J	EIF3D	0
RPS8	RPS27	0
MAPK9	MAP3K8	+
IL23A	IL17A	+
HIF1A	TGFB1	+
EGFR	ARF6	+
MAP3K3	PFDN2	0
CCL4L1	CCR2	+
IFNA1	OAS1	+
PTPRC	CD79A	+
PSMD3	PSMB2	0
MYH13	MYH11	0
CREBBP	APOA2	+
CREM	KCNIP3	-
ITGB3	TNS1	0
PIP5K1B	VCL	+
LITAF	CPS1	+
ANAPC2	ANAPC10	+
SHC1	ELK1	+
CREBBP	MAML2	0
RPL6	RPL29	0
CDK1	CPEB1	+
TFAP2A	NME3	+
SND1	PIM1	0
HLA-C	KIR2DS4	+
MAPK8	BCL2	-
IL2	CBL	+
NOTCH1	TP53	-
YWHAG	TUBG1	0
TNF	CDK6	-
GNAI1	S1PR2	0
TNF	MAPK8	+
EIF3F	EIF3L	0
NUP35	THOC4	+
MTOR	PIK3CD	0
BIRC2	TNF	0
EBP	EIF4E	-
CSK	ACTN4	0
HRAS	RASSF1	+
CXCR3	PF4	0
RPL8	RPS27	0
BLK	BCAR1	+
PPP3CB	CALM1	0
RFFL	TRAF2	+
COL1A2	ITGB6	+
RPL37	RPS7	0
IFNA1	IFNB1	+
SRC	ITGB7	+
GNAI3	S1PR5	0
CCNA2	SKP2	+
RANBP2	MDM2	+
CHP	PLCB3	0
CXCR4	CCL20	+
GPR160	RPS6KB1	+
RASGRP1	MRAS	+
EP300	KAT2B	0
ADAMTS13	VWF	+
CASP3	PTPN12	+
TNFRSF11B	MMP9	+
CSNK1A1	WNT1	+
PTK6	SMPX	+
APBB1IP	SRC	0
CDC42	CTNND1	-
PSMD2	PSMD4	0
UBE3A	GABRA5	+
FGFR2	NUDT4	+
GNB3	PLCB2	+
NEK2	ALMS1	0
TGFB2	TGFB2	-
NXPH3	NRXN1	+
S1PR1	PIK3C2G	+
EXOC6B	PSMD3	0
ITGAV	IGF1	+
GNG11	PIK3CD	+
CCL2	JAK2	+
CACNA1F	CACNG6	0
ADCY8	PRKX	+
PTK6	TCF7	+
PPP1CC	GRIN2A	-
INSL5	RLN1	+
CAMK1	SYN1	-
PTH	TCF7	+
IL18RAP	NOS2	+
LBR	HLA-B	+
ACTG1	ACTN2	0
RPS21	RPS9	0
SHC1	MAPK3	+
CHAD	ITGA2B	+
GNAI3	S1PR2	0
MAP3K7	OTUD7B	+
PPP3CC	MEF2D	+
HDAC11	HIST2H2BE	+
PSMA2	CKS1B	+
ITGA1	ITGB1	0
RPL6	MAP3K14	0
TFDP2	E2F1	-
NCKAP1	ABI1	0
MAP3K5	MAP2K4	+
PAFAH1B1	CEP72	0
SPRY2	FGF1	0
THBS1	ITGA10	+
GNAQ	PLCG1	+
NOTCH1	RBPJ	+
APOE	SORL1	+
HLA-DRB1	SH3BP2	0
SMAD3	LEF1	0
MS4A2	ITK	+
TGFB1	SMAD6	+
PPP3CA	BIN2	+
FDPS	FGF2	-
NR4A1	RXRA	0
JAK2	BTK	+
SDC2	SPP1	+
FLNA	ITGB3	0
PSMB5	PSMF1	0
GRK5	CX3CR1	+
PIAS3	CREBBP	0
FGFR4	CSNK1G2	+
ITK	VAV2	+
WIF1	WNT6	-
UBE3A	PSMA1	0
ARNT	PLIN2	+
WNT3A	ATP6AP2	0
AKT1	TSC1	+
CCL4L2	CCR7	+
HCK	SHC1	+
PSMB9	UBE2D1	+
KRT5	HGF	-
FRA8B	MYC	+
CEBPZ	HSPA1B	+
MTOR	RICTOR	0
TAM	ESR1	+
MMP9	TIMP1	-
RACGAP1	KIF23	0
CDK5	PHB2	+
POM121	SNRPB	+
CDK6	KLK3	+
YWHAE	NINL	0
S1PR3	AKT1	+
AR	PRDX1	0
FAM123B	CTNNB1	+
F2	GNGT1	0
WASF3	ARPC1B	+
ERBB2IP	DST	0
NOTCH1	CDKN1A	+
PTK2B	MAP3K4	+
SPP1	ITGA11	+
ITGAX	CRK	+
HDAC11	HIST2H2AC	+
WASF3	ARPC5L	+
RPL7	RPS10	0
ACTN3	CSK	0
SHC2	RET	0
UBA52	RPS20	0
ADRBK1	SLC9A3R1	0
ITGB8	CAV3	0
SKP2	SKP2	0
RPS6KA2	NAP1L1	+
RANBP2	RAN	+
NCSTN	PSEN2	0
CAMK2B	HRAS	+
IL2	MAP2K2	+
DCTN4	SPAG9	-
ANGPT1	TNF	-
CEP76	TUBG1	0
GNAI1	AKT3	+
NCOA7	TFF1	+
GSN	LAMA1	+
RPS6KA2	ATR	+
DYRK4	ASAP3	+
MAP4K1	CRKL	0
PRKCI	RIPK2	0
EGFR	MAPK3	+
JAK2	CBL	+
SMAD1	ID3	+
PLD1	CCR5	+
ITGAL	F11R	0
HBEGF	STAT5A	+
CTNNB1	MYC	+
MAP3K2	MAP2K7	+
MCF2L	CDC42	+
IL6ST	JAK2	0
BMX	BCL3	+
AKT1	ARFGAP2	+
CACNG8	CACNA1G	0
RAP1B	PTK2B	+
UBA52	UBC	0
CAMK2G	PRKACA	+
AURKB	HCLS1	+
TRIM24	INHBA	+
ADRA1B	TGM2	+
SMAD2	MYC	0
LYN	LAT2	+
ZAP70	CD79B	0
ACTN2	ITGA1	0
CBLB	JAK2	-
PAAF1	PSMC5	0
MPO	APOA1	+
PLAUR	ITGA10	0
BMP6	BMPR2	0
CSF2	LGALS3	+
CAMP	MAPK3	+
PSMD11	CUL5	+
HERC2	ZZEF1	0
LEP	GHSR	+
LAMC3	PRNP	+
ZAP70	PIK3R5	+
SHC2	FGF21	0
RBX1	RBX1	0
RPS6KB1	TNF	+
NRIP1	AR	+
CSTF2	CPSF1	+
NTRK1	EPN3	0
YY1	JUN	-
LCK	CD3G	0
F3	F10	+
PDGFRB	SOS2	+
FURIN	IFNG	+
FES	FES	+
IGF1R	SHC4	+
AAAS	UPF3B	+
GNGT1	PLCB4	+
SOCS3	STAT5B	-
PTCH1	CDK1	0
HBA1	RPS28	0
NFATC2	FASLG	+
NTF3	MAPK1	+
CLK2	MIS18BP1	+
FGR	ETS1	+
ITGA9	ITGB1	0
ATR	HES1	+
STAT5B	CDK6	+
PSMA3	PSMD3	0
ENG	TGFB1	0
GNG10	PIK3R3	+
CBLC	IL12RB1	-
GRK1	CXCR6	+
CDK5	MAPK10	+
CSNK1E	DYNC1I2	0
EIF4E	EIF4G2	0
CXCL1	CCR7	+
INPPL1	AKT1	-
PRKCB	RRAS	+
FGF20	SPP1	+
COL4A6	ITGA4	+
ADCYAP1	PRL	-
RGS16	PIK3CG	+
RPL21	RPS5	0
CXCL12	PIK3CA	+
NUP155	SLBP	+
LOC650621	ANAPC10	+
SHFM1	VEGFA	-
NTRK1	PIK3CA	-
CCR4	JAK3	+
CTNND1	EFNA1	+
LYN	PRKCD	+
MAPK3	HPGD	-
POLR2L	GTF2H1	0
RPS3A	RPS27	0
RPS27	UBC	0
EXOC6B	PSMB10	0
PRKCZ	SRXN1	+
PTPN6	CRKL	-
STX1A	CDK5R1	+
HBA1	RPS29	0
RPS5	RPS6	0
ARNT	NT5E	+
MAP3K3	TNFRSF1A	0
HTR2C	GNA15	+
CLDN4	CLDN9	0
RPL10L	RPL7A	0
SRPK2	SOX10	+
IL1RN	IRAK1	-
TLR7	TOLLIP	0
UBR1	PSMF1	0
MAPK11	MEF2C	+
ITGB3	CAV2	0
EIF4G2	EIF4G3	0
WNT6	CSNK1A1	+
CASP4	CASP1	+
PPP3CB	LOC729991-MEF2B	+
RPL29	UBA52	0
CCL13	CCR6	+
PLCB3	PPP3R1	0
SRC	PRKCA	+
TP53	LASP1	-
EPS8	PIN1	0
CCL24	CCR2	+
EIF3C	EIF3A	0
SYK	CSNK1G2	+
CHEK2	NEUROD1	+
PAK1	FGR	+
GIT1	ITGB1	0
RPL7	RPL38	0
MTOR	PRR5	0
AGT	PLCB1	+
RPL23A	RPS9	0
SMAD3	SMURF1	0
RPL19	RPS15	0
HTT	RASA1	0
CDK2	CDX2	+
PSME3	CDC26	+
XCL2	CXCR5	+
MAPK1	PLA2G2A	+
GRB10	INS	0
RASGRP4	HRAS	+
PSMC2	SNCA	-
AP2A1	SHC1	0
MBP	PLP1	-
PSMA3	PSMA7	0
RPL3	UBA52	0
FOSL2	LIF	+
STK16	POP7	+
ITGB3	VASP	0
GTF2H3	GTF2F1	+
MAP3K5	CAMK2B	0
CDC23	AURKA	+
IFITM1	CD19	0
EIF6	RPL41	+
RGS1	BCAR1	-
SOCS4	IL12RB1	-
GNB1	BCAR1	+
NUP153	KPNA1	+
RARB	NCOA3	0
RPS8	UBA52	0
PRL	CCL20	+
CITED1	SHC1	0
ITCH	NUMB	0
FGF4	PTPN11	0
PSMA2	SKP1	+
RPL4	RPLP0	0
EPO	IL6	+
CDC42	LIMK2	+
PRKACA	PDE3B	+
FIGF	GRB2	+
CHRM4	GNG12	+
RYR1	CD38	0
CDK2	FOXO1	+
HGS	EGFR	0
BMP2	MAPK1	+
LAMA5	PIK3R1	+
ITGA10	CRK	+
TFPI	LPL	+
ID2	SREBF1	0
RPL24	RPS15A	0
IL8	CCR7	+
CBLB	IL22RA1	-
FGFR1OP	TUBA1A	0
PRKCA	NMRAL1	+
AURKB	XRCC1	+
MAP2K5	MAPK1	+
MCM7	RFC5	+
YWHAG	YWHAZ	+
IL23A	PITRM1	+
COBRA1	POLR2G	0
ADRBK1	CALM1	0
CD19	PIK3R1	0
IDE	ANAPC4	+
PPP2CB	IGSF5	-
MAPK14	RARB	+
CCNH	CDK1	+
SMAD4	HIST2H3C	+
EGF	CCND2	+
LCK	CD8A	0
CFL1	SSH1	+
DMPK	PLN	+
PSMD3	PSMD7	0
SAP18	FGF11	0
RAE1	RNPS1	+
CLK2	PPP5C	+
UBQLN1	PSMD4	0
SHC3	SOS1	0
RPL3	RPL31	0
STX1A	CACNB3	-
NTRK1	DNAJA3	+
CDK1	PLK1	+
SHC2	SOS1	0
ERN1	ERN1	+
JAK1	BTK	+
GNG13	PIK3R2	+
RPL7A	RPS25	0
CALM1	ADCY3	+
ETS2	KIT	+
TRAF6	UBE2N	+
FGFR3	FGF21	0
PPP2R5C	AKT1	-
CAMP	RAPGEF3	+
MAP3K1	RELA	+
ADRBK1	IL8	+
PRKCE	IGSF5	+
PKC	MARCKS	+
CDC14B	MYCBP2	+
CTBP1	HDAC1	0
PDGFA	CDK2	+
CASP7	PTBP1	+
PSMD14	POMP	0
STK17A	ZNF414	+
CD247	PAG1	-
PSMB11	CUL5	+
LCK	CTLA4	+
GCG	SST	+
TH	DRD2	+
PPBPL1	CXCR4	+
PKC	ITGA1	+
IFNG	PIGR	+
UBR1	CDC16	+
AKT3	PIK3CB	0
PDGFRB	BCAR1	+
FHL2	ITGB8	0
EIF4G2	EIF4E	-
ACTN2	NEFL	0
TNNI3K	VHL	+
ARNT	NDRG1	+
CALML3	PYGM	+
LAMA2	ITGA7	+
FANCC	FANCI	+
MAP3K3	YWHAB	0
AKT1	SMAD3	+
LEF1	NLK	0
SP1	CAV1	+
EIF2S1	RPS15A	0
PRKACA	PTPN5	-
STAT5B	ACOX1	-
CASP7	LAMB1	+
RAD51	ATP1BL1	+
PRTN3	CDKN1A	+
SOCS7	IL4R	-
CCL16	CCR1	+
CDKN1A	DDAH2	+
PSMB7	CDC20	+
ITGA11	CALR	0
HIF1A	TGFA	+
PDPK1	PIK3R1	0
CEP76	SSNA1	0
PSME2	ANAPC10	+
TLR9	TRAF6	+
SRA1	ESR1	+
BCR	BTK	0
PTK2	MAPK12	+
NTSR1	GNA15	+
CSNK2A1	EXOSC7	+
THBS3	CD36	+
SYK	CD19	+
SIN3B	SMAD3	-
BAG4	KHDRBS1	+
FZD8	DVL2	+
GNGT1	GNB1	+
MTOR	EBP	+
VEGFB	STRADB	-
PIK3R1	CD2	0
NCF1	MAPK12	+
MAPK1	VAV2	+
DYRK4	SRA1	+
ADM	CALCRL	+
AKT3	FOXO1	-
RCHY1	GTF3A	0
TP63	CEBPD	+
NTRK3	SHC2	+
PTPN11	EGFR	-
EFNA1	GIT1	0
SOCS4	CSF2RA	-
RPL18	RPS24	0
LAMA5	ITGA11	+
RPL10L	RPL29	0
GNG2	TRA@	-
CASP3	ACIN1	+
RET	MAPK3	+
CDC16	ANAPC2	+
PSMC4	ANAPC5	+
CALCA	CDH11	+
FOS	PTEN	-
FOS	FASLG	+
EIF6	UBC	+
TIMP4	ADAM10	-
CDK7	MLX	+
ACTR2	ARPC4	0
PLCG1	LAT2	0
RAD23B	CDC27	+
RPL28	RPS9	0
PIM1	FAM110D	+
NPR2	MBNL3	+
CEP78	DYNC1H1	0
CDKN1C	CCNA2	-
IL22RA2	JAK3	+
EIF5B	RPS11	+
GTF2H1	MNAT1	0
JUN	EP300	0
ROCK2	MSN	+
ADRBK1	CCR6	+
CRK	CBL	0
PTPN2	CSF1R	-
CSNK1G1	GSK3B	+
GSK3B	CREB3L1	-
CASP1	IL1R2	-
PSME4	CDK2	+
JUP	CTNND1	0
MDM2	LOC652799	-
PFN1	LAMA1	+
RPL34	FXR2	0
XRCC6	XRCC5	0
RPL18A	RPS2	0
ATR	CDKN2D	+
APP	CAPN1	+
INADL	CLDN20	0
PML	SPI1	-
HDAC8	HDAC10	0
GH1	SOCS3	+
UBA52	RPS2	0
CCR3	JAK3	+
ADAM12	ITGA10	0
COL6A2	ITGA5	+
HLA-F	KIR2DS5	+
SKAP1	JUN	+
SPCS1	RPN1	+
FN1	IRS1	+
PIK3CB	PIK3CG	0
CDK1	AZI1	0
PSMB1	PSMB4	0
EPAS1	TGFB1	+
MYH1	MYH13	0
CXCL13	CXCR1	+
UBA52	RPS3A	0
PPYR1	PRKAG1	+
PSMC3	PSMD3	0
CDK7	CBL	+
LCK	JAK3	-
ATM	RPA1	-
GAB2	PIK3CG	+
NUP188	SNRPB	+
MAP3K7	RPA2	+
POMP	TCEB2	+
MET	MAPK8	+
RPS7	RPS26	0
CD4	CD247	+
EXOC6B	PSMA7	0
PSME3	UBXN1	0
RPL31	RPL14	0
RB1	E2F1	-
YWHAE	KSR1	0
ADORA2A	GNAL	+
EDN1	P2RY2	0
THBS4	ITGA2	+
PDPK1	PRKCA	+
SOCS7	IL5RA	-
RYR2	CACNA1G	0
PRMT5	GEMIN5	+
CAPNS1	SRC	+
RHOA	ITGA4	+
AR	CDC25B	0
RPL26	RPS9	0
ACTN1	CAPN1	0
MAPK8	RXRA	+
ROCK1	MYL5	+
NFIX	POLR3H	+
RPL3	RPLP1	0
MAPK8	VCAN	+
MRPS7	NCBP1	0
ITGB7	ADAM12	0
ATF2	HES1	+
IRAK1	MAP3K1	+
RELA	CCL3	+
PDPK1	MAPK3	+
PKC	SPHK1	+
ESR1	EBAG9	-
PORCN	WNT9B	+
RPTOR	EIF3J	+
PGF	KDR	+
RPL39L	RPL31	0
MYH4	MYL6B	0
RPL36	RPS2	0
FAS	CHUK	+
GRM5	GNAQ	+
CLDN16	CLDN15	0
SCYL3	CBL	+
NOTCH1	FOS	-
DUSP16	MAPK3	-
GRK5	BMX	+
CYCS	CYCS	+
PSMB10	CDC26	+
RAN	CTNNB1	+
MAPK14	CCNB1	+
RPL35	RPL18	0
YWHAH	MAP2K1	+
PRKAR2B	TLN1	-
SMAD3	SKI	0
DUSP1	PPARA	-
WASF1	ARPC5L	+
ERC1	NFKBIA	+
WNT9B	FZD1	+
MAP2K3	CCM2	0
CDK7	NEUROD1	+
CASP7	LAMA2	+
YES1	YWHAH	+
PSMC1	RBX1	+
CASP8	CASP8	+
AR	RAC3	0
NUP88	GCKR	+
PSMB8	PSMD9	0
TP53	MLH1	+
CHRM1	CXCL12	0
TP53	POLR1B	-
CDK9	POLR2B	+
RPS4X	RPS19	0
DYRK4	SRXN1	+
MAPK3	DUSP2	+
PDGFB	PDGFRB	+
RHOA	ITGB7	+
RPS9	FXR2	0
CBL	IL23R	-
RXRB	APOA5	+
STAT6	IL13RA2	+
PRKCD	MAPK3	-
SNRPD2	GAB2	0
SUPT7L	CDK4	+
HBEGF	PIK3CD	+
HDAC4	TGFB1	+
GNGT1	CYTH1	+
EPOR	SHC2	+
ACP1	ZAP70	-
SMURF2	MET	-
PPARGC1A	LOC729991-MEF2B	0
TP53	EGFR	+
UBA52	FXR2	0
MAPK9	IFNG	-
RAC3	ABI2	-
HBA1	RPL30	0
NUP43	SNRPG	+
ITGB7	THY1	0
TRRAP	TERT	+
MAPK8	YWHAE	+
CAMKK1	SRXN1	+
GNAI1	PIK3CD	+
E2F4	CDK1	-
NFKBIB	BTRC	0
WEE1	MDM2	+
PPP3CC	NFATC2	+
ARRB2	KIRREL	0
ERBB4	PIK3CB	+
LAYN	RDX	0
TFDP2	CES8	+
CSNK2A2	TP53	+
POLR2B	GTF2H3	0
PRKCD	IRS1	+
BMP2	ASPN	+
PSMD4	PSMB2	0
EPHA6	RHOA	+
TCEA1	XAB2	0
AKT1	MAPK3	+
PDE3A	PRKAR2A	0
COBRA1	POLR2E	0
IKBKB	IKBKG	0
AGER	SMAD4	+
CUL9	ANAPC13	0
JUN	ME1	-
IKBKE	IRF7	+
CCL15	CCR6	+
KIT	FER	+
STAT1	IL27	+
COL5A1	SDC4	+
LYN	PIK3R3	+
RPS7	RPS3A	0
PTPN6	IL10RB	-
OLR1	CCL2	+
SIRT1	NCOA2	+
MAPK14	MEF2C	+
FLT4	PIK3CG	+
KRAS	RIN1	+
HDAC7	SAP30	0
TUBA3D	GJA1	0
POFUT1	PPP2CA	+
PSMD7	FZR1	+
MYH6	MYL6B	0
SMAD2	SMAD2	+
KIT	CBL	0
CTBP1	RBBP7	0
FBXW11	SKP1	0
PSMB2	PSMA4	0
OXSR1	SLC12A2	-
GTF2H2	POLR2K	0
CSF3	TNF	-
CSNK2A1	UTP18	+
CASP1	EIF4E	+
RPL7A	RPS27	0
NEDD1	AZI1	0
IRAK1	NFKB1	+
CHP	PLCB4	0
FOXM1	NEK2	+
BTK	PIP5K1A	0
PPP2R1A	DCTN3	0
BARX2	CDH17	+
PSMA2	BTRC	+
TRH	TSHB	+
ENPEP	IL1B	+
CDK2	RRN3	+
SOCS2	IFNAR2	-
PRKACA	NPM1	+
RAPGEF5	PRKACB	+
PPP3R2	CALML3	0
RXRB	KLK3	-
APLN	APLNR	+
CDH5	PTPRJ	+
PIK3CB	GAB1	0
FGF2	IHH	-
ACVR2B	SRXN1	+
CD8B	CSK	-
WEE1	ZMYM3	+
MAPK14	GRK5	+
FRS2	FGF8	0
MAX	SNAI1	+
ITGA7	PXN	0
UBQLN1	PSMB8	0
RAB2A	GAPDH	+
ATF2	GADD45A	+
TNFSF13	RA3	+
ESR1	SMAD3	0
PAK1	MYL12B	+
PSMB6	PSMD2	0
PDGFRB	PIK3CD	+
IL1A	IL1B	0
TRA@	MAP4K1	+
NOD2	NFKB1	+
EIF1	EIF2S3	+
ITGAM	CALR	0
PRKCI	PARD6G	0
H3F3A	PRKACG	0
CCNT1	GTF2F1	+
BCAR1	CBL	0
RXRG	KLK3	-
TRB@	CD8B	0
FGF13	NOS2	+
STK16	VHL	+
CHP	ANAPC4	+
TERF2	ATM	-
CACNB4	CACNB3	0
PAK1	ELF3	+
CCNE1	E2F5	+
CEBPA	KLK3	-
CHUK	TRAF6	0
MMS19	MBD2	0
PSMD4	UBE2C	+
WNK1	SYT2	+
HMGB1	TLR9	-
YWHAH	CDK1	+
IGF2	MAPK3	+
ATF2	DUSP8	+
CLK4	ZYX	+
PRKCA	DVL2	+
RPL10L	RPL27A	0
HRAS	CD69	+
CXCL12	PRKAR1A	0
ARPC3	ARPC2	0
CDK5RAP2	CEP250	0
DYRK2	CBX1	+
MMS19	NRIP1	0
ERBB3	PLCG2	+
STAT6	IGHE	+
SLC10A2	CKS1B	+
RBX1	CCNE1	-
CEBPA	SFTPD	+
CBLB	LIFR	-
SHC1	PTK2	+
NEK2	CEP250	0
CBL	ITGAE	-
MAP3K7	PRKCD	+
SIN3B	SIN3A	0
MYB	SLC1A5	+
ITGB1	TLN1	0
FASLG	BID	+
COL5A2	ITGA8	+
ARNT	CA9	+
MAX	CFLAR	-
PAK4	LARP1	+
CAST	PTK2	-
CLDN22	TJP2	0
ARHGEF5	ARHGAP5	+
RPL27A	UBB	0
CDK4	ZBED1	+
VEGFA	SRC	+
WWP1	RET	-
ERBB2	DOCK7	+
SHFM1	TCEB2	+
CXCL2	CCR7	+
SREBF1	LDLR	+
EIF2B5	EIF2S3	+
CASP2	CASP7	+
PRKCA	PRKD1	+
NUPL2	SMN1	+
TAF12	ERCC3	0
DMBT1	SFTPA2	-
ZBTB16	CCNA1	+
PPP2R5A	REC8	+
DLG1	LCK	0
TESK2	ZNF626	+
IKBKB	TP63	+
WEE1	HCLS1	+
WHSC2	POLR2A	0
CXCL5	CCR10	+
SLIT2	SDC1	+
PSMD1	ANAPC2	+
GAL	INS	-
SSB	POLR3B	+
PLAU	FGF13	+
FOS	NTS	+
SYK	PLA2G4A	+
CCNT2	POLR2K	+
TNF	MAP2K6	+
ELMO1	DOCK2	0
PSME1	FZR1	+
CXCL12	MMP13	+
PDE3B	PIK3R2	0
TBK1	NEUROD1	+
CSNK1D	TUBA1A	0
NCBP1	RPS7	0
RPS17	UBA52	0
PSME3	CUL1	+
RPS6	RPS29	0
YWHAZ	CDC25B	0
EPHA6	CDK5	+
PPM1M	PAK1	-
RPL10L	RPL23A	0
MYB	MPO	+
GIT1	ITGA2B	0
CD247	CD3E	0
PSMA2	PSMD1	0
RPL18A	RPL30	0
EDN1	ADCY7	+
IGF1	IL21	-
ITGB1	ACTN3	0
FGFR2	MYRF	+
RPL38	UBB	0
GNG12	PLCB4	+
PAK6	DVL1	0
PSMB6	PSMD6	0
MAX	MYCT1	+
ADCY4	PRKACA	+
GSN	AR	+
LEPR	JAK3	+
ITGB6	PLAUR	0
PRKCA	RAB4A	+
SNRPB2	SNRPD3	0
LCK	ZAP70	+
TPR	RAN	+
APOC3	APOE	0
LITAF	NEDD9	+
ADRB1	GNAL	+
TGFB1	SIK1	+
TRAF2	LPL	+
PAAF1	PSME1	0
ITGA1	GRB2	+
FOXA2	GCK	+
ELANE	PI3	+
EGFR	CBLB	+
EFNB2	ITSN1	0
PPP3CC	NFATC3	+
PLCG1	KIRREL	0
MAP2K4	NAP1L1	+
RET	GDNF	0
RPL19	RPS13	0
PCNT	TUBB2C	0
CSF2	COL11A2	+
ADRA1A	GNA15	+
COL2A1	ITGA11	+
CAMKK1	IRF3	+
PIK3CG	GAB2	0
IKBKE	RELA	-
PPM1A	MAP2K3	-
GSK3B	HCLS1	+
HIPK4	MLX	+
CCL28	CCR4	+
TUBB	DNM1	+
CXCL13	CXCR2	+
SIN3A	ZNFX1	0
DAPP1	RAC3	+
DAB2	CAMK2A	0
GTF2H2	ERCC3	0
FGF6	PIK3R1	+
IRS1	PTPN11	+
APOA5	APOC3	+
PIP5K1C	ACTN1	0
TFPI	F5	-
KAT5	TP53	+
TRB@	LCK	0
RPS6KA5	UHMK1	+
STRAP	SMAD6	0
POLE	RPA1	+
FERMT2	FBLIM1	0
PSMD9	CDC20	+
SRC	ABL1	+
IRS2	STAT6	+
HBEGF	PRLR	0
PBK	MDM4	+
AHSP	HBA2	+
PRKCQ	JAM2	+
TCF7L1	CCND1	+
ITGB3	PARVG	0
PSMB7	PSMB9	0
ADRBK1	EIF4B	+
PRKACG	COL1A1	-
LAMA5	ITGAV	+
RPL10	RPS10	0
ITGAM	BCAR1	+
NOS1	MAPK3	-
XCL2	CCR2	+
CSNK2A1	SMARCC2	+
MAPK11	TNF	-
DYNLL1	NEK2	0
LOC652346	CCNA1	+
CEP72	CEP250	0
EPHB1	SRC	+
FGR	QKI	+
BIRC5	RACGAP1	+
PTPRR	MAPK3	-
OS9	EGLN3	0
TAF12	CCND2	+
CD8B	ZAP70	0
PLK1	NUDC	+
COL5A3	GP6	+
TP73	HEY2	+
RPL8	RPLP1	0
BTK	NCAPG	+
CDC42BPA	MYL9	+
MSN	PIK3CA	0
ITGB4	LAMA3	0
FOSB	SMAD3	0
AGT	ADRB2	0
GLI3	WNT10A	+
SYK	PLCG1	0
HERC2	ANAPC4	0
MAD2L2	CDC27	-
RPL28	RPS15A	0
RPL10L	RPS28	0
STK36	UBE3A	0
RHOA	KTN1	+
POMP	TRIP12	0
GSK3B	POP7	+
PSMA2	UBE2D1	+
F2	FPR1	0
PRKCA	FIP1L1	+
PTK2	ZYX	+
RAF1	MAP2K2	+
NOTCH1	KAT2B	0
MRPS7	RPS17	0
CHN1	RAC1	-
FLNA	ACTB	0
GSK3A	AXIN1	+
ATP6V0D2	WNT3A	+
RPS26	RPS12	0
AAAS	CPSF2	+
ANAPC11	ZZEF1	0
MET	HGF	-
CCNE2	ANAPC7	-
ATP6V1G1	LRP6	+
NFKB1	MAP3K8	0
IL9	MUC4	+
